Date,Clics,Impressions,CTR,Position
2026-06-03,97,2029,4.78%,8.6
2026-06-04,92,1932,4.76%,8.6
2026-06-05,79,1662,4.75%,8.6
2026-06-06,74,1546,4.79%,8.6
2026-06-07,102,2145,4.76%,8.6
2026-06-08,99,2087,4.74%,8.6
2026-06-09,101,2125,4.75%,8.6
2026-06-10,97,2029,4.78%,8.6
2026-06-11,92,1932,4.76%,8.6
2026-06-12,79,1662,4.75%,8.6
2026-06-13,74,1546,4.79%,8.6
2026-06-14,102,2145,4.76%,8.6
2026-06-15,99,2087,4.74%,8.6
2026-06-16,101,2125,4.75%,8.6
2026-06-17,97,2029,4.78%,8.6
2026-06-18,92,1932,4.76%,8.6
2026-06-19,79,1662,4.75%,8.6
2026-06-20,74,1546,4.79%,8.6
2026-06-21,102,2145,4.76%,8.6
2026-06-22,99,2087,4.74%,8.6
2026-06-23,101,2125,4.75%,8.6
2026-06-24,97,2029,4.78%,8.6
2026-06-25,92,1932,4.76%,8.6
2026-06-26,79,1662,4.75%,8.6
2026-06-27,74,1546,4.79%,8.6
2026-06-28,102,2145,4.76%,8.6
2026-06-29,99,2087,4.74%,8.6
2026-06-30,101,2125,4.75%,8.6
2026-07-01,97,2029,4.78%,8.6
2026-07-02,92,1932,4.76%,8.6
2026-07-03,79,1662,4.75%,8.6
2026-07-04,74,1546,4.79%,8.6
2026-07-05,102,2145,4.76%,8.6
2026-07-06,99,2087,4.74%,8.6
2026-07-07,101,2125,4.75%,8.6
2026-07-08,97,2029,4.78%,8.6
2026-07-09,92,1932,4.76%,8.6
2026-07-10,79,1662,4.75%,8.6
2026-07-11,74,1546,4.79%,8.6
2026-07-12,102,2145,4.76%,8.6
2026-07-13,99,2087,4.74%,8.6
2026-07-14,101,2125,4.75%,8.6
2026-07-15,60,1258,4.77%,8.6
2026-07-16,57,1198,4.76%,8.6
2026-07-17,49,1030,4.76%,8.6
2026-07-18,46,958,4.80%,8.6
2026-07-19,63,1330,4.74%,8.6
2026-07-20,62,1294,4.79%,8.6
2026-07-21,63,1318,4.78%,8.6
2026-07-22,60,1258,4.77%,8.6
2026-07-23,58,1225,4.73%,8.6
2026-07-24,51,1078,4.73%,8.6
2026-07-25,49,1025,4.78%,8.6
2026-07-26,69,1452,4.75%,8.6
2026-07-27,69,1443,4.78%,8.6
2026-07-28,71,1500,4.73%,8.6
2026-07-29,70,1461,4.79%,8.6
2026-07-30,68,1419,4.79%,8.6
2026-07-31,59,1244,4.74%,8.6
2026-08-01,56,1179,4.75%,8.6
2026-08-02,79,1667,4.74%,8.6
2026-08-03,79,1651,4.78%,8.6
2026-08-04,82,1712,4.79%,8.6
2026-08-05,79,1663,4.75%,8.6
2026-08-06,76,1590,4.78%,8.6
2026-08-07,65,1372,4.74%,8.6
2026-08-08,61,1281,4.76%,8.6
2026-08-09,85,1783,4.77%,8.6
2026-08-10,83,1741,4.77%,8.6
2026-08-11,85,1779,4.78%,8.6
2026-08-12,81,1704,4.75%,8.6
2026-08-13,78,1628,4.79%,8.6
2026-08-14,67,1405,4.77%,8.6
2026-08-15,62,1312,4.73%,8.6
2026-08-16,87,1826,4.76%,8.6
2026-08-17,85,1783,4.77%,8.6
2026-08-18,87,1822,4.77%,8.6
2026-08-19,83,1745,4.76%,8.6
2026-08-20,79,1667,4.74%,8.6
2026-08-21,68,1438,4.73%,8.6
2026-08-22,64,1342,4.77%,8.6
2026-08-23,89,1869,4.76%,8.6
2026-08-24,87,1824,4.77%,8.6
2026-08-25,89,1864,4.77%,8.6
