Date,Clics,Impressions,CTR,Position
2026-07-01,138,2805,4.92%,8.3
2026-07-02,132,2328,5.67%,8.4
2026-07-03,156,2480,6.29%,9.1
2026-07-04,93,1770,5.25%,11.1
2026-07-05,107,2058,5.2%,13.4
2026-07-06,160,3116,5.13%,9.5
2026-07-07,144,2221,6.48%,8.3
2026-07-08,144,2838,5.07%,9.3
2026-07-09,137,2296,5.97%,12.7
2026-07-10,145,2742,5.29%,13.0
2026-07-11,101,2053,4.92%,14.0
2026-07-12,94,2017,4.66%,12.8
2026-07-13,132,2326,5.67%,12.2
2026-07-14,159,2705,5.88%,11.8
2026-07-15,158,3219,4.91%,14.2
2026-07-16,143,2747,5.21%,9.5
2026-07-17,152,3123,4.87%,12.3
2026-07-18,109,1711,6.37%,14.0
2026-07-19,116,2530,4.58%,11.6
2026-07-20,155,2567,6.04%,14.0
2026-07-21,157,2635,5.96%,8.7
2026-07-22,142,2613,5.43%,13.1
2026-07-23,144,2048,7.03%,13.4
2026-07-24,129,2631,4.9%,9.3
2026-07-25,100,2030,4.93%,9.1
2026-07-26,95,1722,5.52%,12.8
2026-07-27,156,3044,5.12%,14.3
2026-07-28,144,3109,4.63%,8.8
2026-07-29,135,2458,5.49%,10.1
2026-07-30,152,2904,5.23%,11.5
2026-07-31,156,2882,5.41%,10.2
2026-08-01,101,2096,4.82%,14.0
2026-08-02,97,2018,4.81%,14.4
2026-08-03,145,2694,5.38%,9.5
2026-08-04,146,2631,5.55%,12.1
2026-08-05,128,2784,4.6%,11.5
2026-08-06,141,2877,4.9%,11.8
2026-08-07,144,2812,5.12%,8.6
2026-08-08,105,1817,5.78%,14.3
2026-08-09,115,1857,6.19%,11.2
2026-08-10,132,2305,5.73%,13.4
2026-08-11,158,2814,5.61%,10.2
2026-08-12,134,2538,5.28%,14.1
2026-08-13,132,2670,4.94%,8.3
2026-08-14,134,2119,6.32%,12.6
2026-08-15,99,1667,5.94%,12.2
2026-08-16,94,1865,5.04%,9.0
2026-08-17,145,2320,6.25%,9.5
2026-08-18,146,2554,5.72%,10.6
2026-08-19,141,2571,5.48%,9.2
2026-08-20,134,2552,5.25%,12.3
2026-08-21,146,3038,4.81%,12.1
2026-08-22,113,1792,6.31%,12.9
2026-08-23,112,2376,4.71%,10.2
2026-08-24,138,2950,4.68%,9.6
2026-08-25,162,3418,4.74%,9.1
2026-08-26,135,2674,5.05%,9.9
2026-08-27,130,2685,4.84%,10.9
2026-08-28,155,2326,6.66%,10.8
2026-08-29,109,1541,7.07%,9.5
2026-08-30,108,2299,4.7%,14.4
2026-08-31,131,2363,5.54%,13.1
