Date,Clics,Impressions,CTR,Position
2026-07-01,32,623,5.14%,9.4
2026-07-02,28,415,6.75%,8.4
2026-07-03,32,579,5.53%,11.8
2026-07-04,20,309,6.47%,9.5
2026-07-05,24,526,4.56%,14.1
2026-07-06,28,405,6.91%,14.3
2026-07-07,31,623,4.98%,10.3
2026-07-08,31,561,5.53%,11.0
2026-07-09,32,451,7.1%,12.7
2026-07-10,34,525,6.48%,11.1
2026-07-11,23,396,5.81%,9.4
2026-07-12,20,362,5.52%,8.3
2026-07-13,34,694,4.9%,12.7
2026-07-14,33,628,5.25%,10.8
2026-07-15,31,559,5.55%,14.5
2026-07-16,33,530,6.23%,14.0
2026-07-17,32,647,4.95%,13.4
2026-07-18,21,444,4.73%,13.8
2026-07-19,23,463,4.97%,13.1
2026-07-20,30,593,5.06%,8.7
2026-07-21,29,514,5.64%,8.3
2026-07-22,29,554,5.23%,12.2
2026-07-23,28,603,4.64%,12.5
2026-07-24,29,559,5.19%,11.8
2026-07-25,22,376,5.85%,14.6
2026-07-26,22,431,5.1%,13.1
2026-07-27,33,468,7.05%,12.1
2026-07-28,32,513,6.24%,10.8
2026-07-29,26,404,6.44%,10.6
2026-07-30,27,432,6.25%,14.0
2026-07-31,30,541,5.55%,14.4
2026-08-01,21,461,4.56%,12.3
2026-08-02,23,336,6.85%,12.0
2026-08-03,31,445,6.97%,14.2
2026-08-04,27,479,5.64%,9.3
2026-08-05,29,547,5.3%,8.6
2026-08-06,32,555,5.77%,11.6
2026-08-07,30,507,5.92%,10.0
2026-08-08,22,406,5.42%,10.0
2026-08-09,22,360,6.11%,8.3
2026-08-10,27,387,6.98%,9.2
2026-08-11,31,530,5.85%,13.9
2026-08-12,31,446,6.95%,14.5
2026-08-13,32,466,6.87%,14.0
2026-08-14,28,498,5.62%,14.4
2026-08-15,19,345,5.51%,14.2
2026-08-16,22,390,5.64%,14.5
2026-08-17,31,583,5.32%,8.9
2026-08-18,29,511,5.68%,9.5
2026-08-19,25,455,5.49%,9.0
2026-08-20,28,541,5.18%,11.1
2026-08-21,27,503,5.37%,10.9
2026-08-22,22,401,5.49%,14.6
2026-08-23,22,437,5.03%,9.7
2026-08-24,25,528,4.73%,13.2
2026-08-25,29,489,5.93%,9.9
2026-08-26,29,537,5.4%,12.0
2026-08-27,29,580,5.0%,9.4
2026-08-28,26,567,4.59%,14.1
2026-08-29,22,314,7.01%,8.6
2026-08-30,19,330,5.76%,12.2
2026-08-31,25,458,5.46%,8.7
