Date,Clics,Impressions,CTR,Position
2026-07-01,58,932,6.22%,13.8
2026-07-02,61,1164,5.24%,14.6
2026-07-03,57,1041,5.48%,9.2
2026-07-04,46,644,7.14%,13.5
2026-07-05,47,967,4.86%,8.7
2026-07-06,57,1124,5.07%,8.8
2026-07-07,60,1064,5.64%,14.3
2026-07-08,62,1293,4.8%,10.1
2026-07-09,64,1109,5.77%,14.1
2026-07-10,54,1112,4.86%,9.5
2026-07-11,44,801,5.49%,9.2
2026-07-12,47,775,6.06%,10.2
2026-07-13,54,888,6.08%,11.2
2026-07-14,63,1063,5.93%,12.6
2026-07-15,54,926,5.83%,11.2
2026-07-16,67,1382,4.85%,12.4
2026-07-17,53,901,5.88%,12.7
2026-07-18,40,740,5.41%,11.1
2026-07-19,38,833,4.56%,13.3
2026-07-20,56,1059,5.29%,10.1
2026-07-21,58,1062,5.46%,10.1
2026-07-22,58,993,5.84%,12.5
2026-07-23,56,873,6.41%,12.9
2026-07-24,57,1228,4.64%,11.8
2026-07-25,45,749,6.01%,13.5
2026-07-26,39,589,6.62%,8.8
2026-07-27,62,1219,5.09%,9.4
2026-07-28,58,1200,4.83%,12.0
2026-07-29,54,853,6.33%,9.2
2026-07-30,54,931,5.8%,8.7
2026-07-31,66,1149,5.74%,11.5
2026-08-01,44,885,4.97%,13.5
2026-08-02,42,699,6.01%,10.8
2026-08-03,53,911,5.82%,12.7
2026-08-04,66,1340,4.93%,12.4
2026-08-05,61,863,7.07%,10.3
2026-08-06,57,1094,5.21%,8.9
2026-08-07,58,1048,5.53%,13.2
2026-08-08,46,869,5.29%,9.2
2026-08-09,45,955,4.71%,11.7
2026-08-10,57,1026,5.56%,9.1
2026-08-11,62,1357,4.57%,11.5
2026-08-12,62,1282,4.84%,9.5
2026-08-13,66,1255,5.26%,9.5
2026-08-14,53,845,6.27%,11.9
2026-08-15,44,731,6.02%,14.1
2026-08-16,41,725,5.66%,9.0
2026-08-17,66,995,6.63%,14.0
2026-08-18,60,1109,5.41%,11.8
2026-08-19,56,1191,4.7%,14.5
2026-08-20,64,1203,5.32%,9.0
2026-08-21,64,1043,6.14%,13.9
2026-08-22,40,743,5.38%,13.5
2026-08-23,39,716,5.45%,8.7
2026-08-24,52,802,6.48%,14.5
2026-08-25,65,1252,5.19%,10.2
2026-08-26,61,1213,5.03%,10.6
2026-08-27,60,1225,4.9%,8.3
2026-08-28,54,958,5.64%,9.1
2026-08-29,41,760,5.39%,9.3
2026-08-30,42,676,6.21%,11.8
2026-08-31,56,1071,5.23%,8.4
