Date,Clics,Impressions,CTR,Position
2026-07-01,84,1630,5.15%,11.7
2026-07-02,97,1647,5.89%,11.3
2026-07-03,88,1473,5.97%,13.0
2026-07-04,74,1080,6.85%,9.0
2026-07-05,74,1405,5.27%,13.1
2026-07-06,89,1548,5.75%,9.9
2026-07-07,104,1762,5.9%,12.4
2026-07-08,109,1809,6.03%,11.7
2026-07-09,103,2200,4.68%,10.9
2026-07-10,95,1403,6.77%,13.8
2026-07-11,64,938,6.82%,11.8
2026-07-12,71,1383,5.13%,10.1
2026-07-13,106,1548,6.85%,9.6
2026-07-14,104,1523,6.83%,10.1
2026-07-15,106,2072,5.12%,10.0
2026-07-16,93,1568,5.93%,12.8
2026-07-17,99,1478,6.7%,12.7
2026-07-18,75,1601,4.68%,14.2
2026-07-19,81,1417,5.72%,13.3
2026-07-20,99,1637,6.05%,10.8
2026-07-21,115,2433,4.73%,9.8
2026-07-22,101,1709,5.91%,10.5
2026-07-23,102,1744,5.85%,9.4
2026-07-24,107,2180,4.91%,11.7
2026-07-25,82,1517,5.41%,9.3
2026-07-26,81,1704,4.75%,10.0
2026-07-27,95,1721,5.52%,11.7
2026-07-28,109,2368,4.6%,12.4
2026-07-29,116,1683,6.89%,11.7
2026-07-30,116,1701,6.82%,8.7
2026-07-31,115,2437,4.72%,8.7
2026-08-01,81,1227,6.6%,13.0
2026-08-02,82,1309,6.26%,9.6
2026-08-03,118,2144,5.5%,13.1
2026-08-04,108,1803,5.99%,14.4
2026-08-05,116,2082,5.57%,11.6
2026-08-06,118,2320,5.09%,14.1
2026-08-07,110,2267,4.85%,12.5
2026-08-08,88,1799,4.89%,13.5
2026-08-09,90,1949,4.62%,12.3
2026-08-10,115,2263,5.08%,13.3
2026-08-11,113,1962,5.76%,9.1
2026-08-12,122,2675,4.56%,10.6
2026-08-13,107,1672,6.4%,10.9
2026-08-14,111,2415,4.6%,8.6
2026-08-15,80,1193,6.71%,12.3
2026-08-16,90,1389,6.48%,8.6
2026-08-17,117,2184,5.36%,14.0
2026-08-18,105,1561,6.73%,9.4
2026-08-19,111,1763,6.3%,12.8
2026-08-20,122,1926,6.33%,9.4
2026-08-21,114,1753,6.5%,13.0
2026-08-22,83,1526,5.44%,13.4
2026-08-23,87,1399,6.22%,13.9
2026-08-24,134,2242,5.98%,11.7
2026-08-25,136,2429,5.6%,9.6
2026-08-26,110,2373,4.64%,13.3
2026-08-27,120,2186,5.49%,11.5
2026-08-28,117,2564,4.56%,12.4
2026-08-29,84,1183,7.1%,11.2
2026-08-30,87,1772,4.91%,12.8
2026-08-31,129,1968,6.55%,9.2
